ORG_CODE,DISTRICT_NAME,COUNTY,GENDER, ENROLLMENT ,PK,K,Gr.1,Gr.2,Gr.3,Gr.4,Gr.5,Gr.6,Gr.7,Gr.8,Gr.9,Gr.10,Gr.11,Gr.12,SPED_Beyond_Grade 12
0001,Abington,Plymouth,FEMALE,955 ,32,61,73,75,71,70,83,91,75,78,69,59,64,51,3
0001,Abington,Plymouth,MALE,961 ,37,73,52,89,77,73,97,82,84,91,55,50,59,41,1
0001,Abington,Plymouth,TOTAL,"1,916 ",69,134,125,164,148,143,180,173,159,169,124,109,123,92,4
0003,Acushnet,Bristol,FEMALE,457 ,25,41,44,58,45,39,47,60,35,63,0,0,0,0,0
0003,Acushnet,Bristol,MALE,498 ,25,43,55,44,62,57,58,61,42,51,0,0,0,0,0
0003,Acushnet,Bristol,TOTAL,955 ,50,84,99,102,107,96,105,121,77,114,0,0,0,0,0
0005,Agawam,Hampden,FEMALE,"1,887 ",64,142,115,102,162,143,128,149,132,163,148,145,134,157,3
0005,Agawam,Hampden,MALE,"2,031 ",87,154,136,158,140,132,162,155,124,148,151,164,159,158,3
0005,Agawam,Hampden,TOTAL,"3,918 ",151,296,251,260,302,275,290,304,256,311,299,309,293,315,6
0007,Amesbury,Essex,FEMALE,"1,017 ",16,63,73,84,76,86,94,77,82,79,76,62,65,84,0
0007,Amesbury,Essex,MALE,"1,133 ",35,64,85,90,94,80,79,81,96,91,78,78,91,90,1
0007,Amesbury,Essex,TOTAL,"2,150 ",51,127,158,174,170,166,173,158,178,170,154,140,156,174,1
0008,Amherst,Hampshire,FEMALE,563 ,31,70,67,70,80,78,92,75,0,0,0,0,0,0,0
0008,Amherst,Hampshire,MALE,585 ,35,56,74,81,77,103,84,75,0,0,0,0,0,0,0
0008,Amherst,Hampshire,TOTAL,"1,148 ",66,126,141,151,157,181,176,150,0,0,0,0,0,0,0
0009,Andover,Essex,FEMALE,"2,991 ",34,157,205,197,234,213,240,271,233,285,221,255,217,223,6
0009,Andover,Essex,MALE,"3,017 ",39,198,220,215,215,259,265,235,250,238,225,204,203,239,12
0009,Andover,Essex,TOTAL,"6,009 ",73,355,425,412,449,472,505,506,483,523,446,459,420,462,18
0010,Arlington,Middlesex,FEMALE,"2,757 ",26,249,252,238,231,218,247,233,208,199,157,193,152,153,1
0010,Arlington,Middlesex,MALE,"2,767 ",44,302,237,267,247,244,224,188,201,179,175,157,160,142,0
0010,Arlington,Middlesex,TOTAL,"5,524 ",70,551,489,505,478,462,471,421,409,378,332,350,312,295,1
0014,Ashland,Middlesex,FEMALE,"1,362 ",63,102,94,115,104,105,97,83,113,105,104,92,87,98,0
0014,Ashland,Middlesex,MALE,"1,339 ",68,111,93,104,110,103,101,96,93,97,98,80,96,89,0
0014,Ashland,Middlesex,TOTAL,"2,701 ",131,213,187,219,214,208,198,179,206,202,202,172,183,187,0
0016,Attleboro,Bristol,FEMALE,"2,767 ",72,217,203,202,224,203,227,188,218,218,207,190,219,175,4
0016,Attleboro,Bristol,MALE,"3,142 ",115,208,246,215,230,246,232,222,254,235,242,225,235,231,6
0016,Attleboro,Bristol,TOTAL,"5,909 ",187,425,449,417,454,449,459,410,472,453,449,415,454,406,10
0017,Auburn,Worcester,FEMALE,"1,264 ",43,99,85,87,110,81,81,92,105,111,87,100,96,85,2
0017,Auburn,Worcester,MALE,"1,259 ",45,96,106,94,78,91,96,114,105,97,87,97,79,72,2
0017,Auburn,Worcester,TOTAL,"2,523 ",88,195,191,181,188,172,177,206,210,208,174,197,175,157,4
0018,Avon,Norfolk,FEMALE,353 ,6,19,19,26,27,31,28,33,26,28,29,24,29,27,1
0018,Avon,Norfolk,MALE,360 ,11,27,32,26,26,26,32,26,33,33,23,25,19,18,3
0018,Avon,Norfolk,TOTAL,714 ,17,46,51,52,53,57,60,59,59,61,52,49,48,45,4
0020,Barnstable,Barnstable,FEMALE,"2,438 ",57,146,141,174,167,229,180,190,197,173,211,197,196,177,3
0020,Barnstable,Barnstable,MALE,"2,510 ",69,161,184,184,193,217,226,167,200,204,169,175,197,157,7
0020,Barnstable,Barnstable,TOTAL,"4,948 ",126,307,325,358,360,446,406,357,397,377,380,372,393,334,10
0023,Bedford,Middlesex,FEMALE,"1,278 ",9,94,101,103,100,82,82,96,104,77,115,100,117,98,0
0023,Bedford,Middlesex,MALE,"1,330 ",21,98,99,103,102,100,100,95,103,81,111,106,103,108,0
0023,Bedford,Middlesex,TOTAL,"2,608 ",30,192,200,206,202,182,182,191,207,158,226,206,220,206,0
0024,Belchertown,Hampshire,FEMALE,"1,163 ",20,74,72,78,90,80,110,96,91,99,88,83,82,97,3
0024,Belchertown,Hampshire,MALE,"1,191 ",9,67,84,83,94,102,81,109,97,108,91,102,93,70,1
0024,Belchertown,Hampshire,TOTAL,"2,354 ",29,141,156,161,184,182,191,205,188,207,179,185,175,167,4
0025,Bellingham,Norfolk,FEMALE,"1,093 ",41,74,76,98,101,89,87,84,96,76,85,64,60,62,0
0025,Bellingham,Norfolk,MALE,"1,163 ",55,87,82,85,74,82,101,86,87,111,74,87,70,82,0
0025,Bellingham,Norfolk,TOTAL,"2,257 ",96,161,158,183,175,171,188,170,183,187,159,151,130,144,0
0026,Belmont,Middlesex,FEMALE,"2,230 ",27,161,160,184,172,172,173,170,174,166,178,167,167,159,0
