ORG_CODE,DISTRICT_NAME,COUNTY,GRADE,District_Total,African American,Asian,Hispanic,"Mult-Race, Non-Hispanic",Native American,Native Hawaiian PacificIslander,White
0001,Abington,Plymouth,Gr.1,125,1,3,10,0,1,1,109
0001,Abington,Plymouth,Gr.2,164,3,3,11,0,0,0,147
0001,Abington,Plymouth,Gr.3,148,5,3,11,1,1,0,127
0001,Abington,Plymouth,Gr.4,143,2,2,7,1,1,0,130
0001,Abington,Plymouth,Gr.5,180,1,3,7,0,0,0,169
0001,Abington,Plymouth,Gr.6,173,6,2,8,1,0,0,156
0001,Abington,Plymouth,Gr.7,159,2,5,9,1,0,0,142
0001,Abington,Plymouth,Gr.8,169,6,1,11,0,0,0,151
0001,Abington,Plymouth,Gr.9,124,3,4,8,2,1,0,106
0001,Abington,Plymouth,Gr.10,109,4,3,10,0,0,1,91
0001,Abington,Plymouth,Gr.11,123,1,0,15,2,0,0,105
0001,Abington,Plymouth,Gr.12,92,2,0,8,0,0,0,82
0001,Abington,Plymouth,SPED_Beyond_Grade_12,4,***,***,***,***,***,***,***
0001,Abington,Plymouth,K,134,5,2,12,0,0,0,115
0001,Abington,Plymouth,PK,69,3,4,5,0,0,0,57
0003,Acushnet,Bristol,Gr.1,99,0,0,4,7,0,0,88
0003,Acushnet,Bristol,Gr.2,102,1,0,6,3,0,0,92
0003,Acushnet,Bristol,Gr.3,107,0,0,0,0,0,0,107
0003,Acushnet,Bristol,Gr.4,96,0,0,2,0,0,0,94
0003,Acushnet,Bristol,Gr.5,105,1,0,0,1,0,0,103
0003,Acushnet,Bristol,Gr.6,121,0,0,1,1,0,0,119
0003,Acushnet,Bristol,Gr.7,77,0,0,3,1,0,0,73
0003,Acushnet,Bristol,Gr.8,114,2,1,0,0,0,0,111
0003,Acushnet,Bristol,Gr.9,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,Gr.10,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,Gr.11,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,Gr.12,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,SPED_Beyond_Grade_12,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,K,84,1,0,4,3,1,0,75
0003,Acushnet,Bristol,PK,50,2,1,2,2,0,0,43
0005,Agawam,Hampden,Gr.1,251,5,8,22,6,0,0,210
0005,Agawam,Hampden,Gr.2,260,8,7,24,6,0,0,215
0005,Agawam,Hampden,Gr.3,302,4,11,28,11,0,0,248
0005,Agawam,Hampden,Gr.4,275,10,5,15,6,0,0,239
0005,Agawam,Hampden,Gr.5,290,8,12,16,11,0,0,243
0005,Agawam,Hampden,Gr.6,304,6,13,25,7,0,0,253
0005,Agawam,Hampden,Gr.7,256,5,7,22,9,0,0,213
0005,Agawam,Hampden,Gr.8,311,4,1,19,8,0,0,279
0005,Agawam,Hampden,Gr.9,299,3,6,14,4,0,0,272
0005,Agawam,Hampden,Gr.10,309,6,7,20,6,0,0,270
0005,Agawam,Hampden,Gr.11,293,5,6,16,8,0,1,257
0005,Agawam,Hampden,Gr.12,315,1,8,21,5,0,0,280
0005,Agawam,Hampden,SPED_Beyond_Grade_12,6,0,0,0,0,0,0,6
0005,Agawam,Hampden,K,296,5,5,19,6,0,1,260
0005,Agawam,Hampden,PK,151,7,13,19,4,0,0,108
0007,Amesbury,Essex,Gr.1,158,3,2,12,5,1,0,135
0007,Amesbury,Essex,Gr.2,174,3,4,10,7,1,0,149
0007,Amesbury,Essex,Gr.3,170,4,2,14,7,0,0,143
