Group Cust No,Group Cust Name,Sold To CustNo,Sold To Name,Ship To No,Ship To Name,Ship To City,Ship To Region,Cluster,Ship To Country,Shipping Point,Shipping Point    Name,Loading Point,DeliveringPlant,DC Name,DP City,DP State
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50173575,RESTAURANT DEPOT #664 - CONCORD,CONCORD,CA,Cali North Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069932,RESTAURANT DEPOT #136 (SACRAMENTO C,SACRAMENTO,CA,Cali North Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50005292,RESTAURANT DEPOT #145 (SAN FRAN CA),SAN FRANCISCO,CA,Cali North Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50168990,RESTAURANT DEPOT #663 (ROSEVILLE CA,ROSEVILLE,CA,Cali North Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069915,RESTAURANT DEPOT #650 (OAKLAND CA),OAKLAND,CA,Cali North Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069922,RESTAURANT DEPOT #162 (SAN JOSE CA),SAN JOSE,CA,Cali North Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50161853,RESTAURANT DEPOT #659 (FRESNO CA),FRESNO,CA,Cali North Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50000465,JETRO CASH & CARRY,50001881,"JETRO CASH & CARRY #19 - VERNON, CA",VERNON,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069913,JETRO CASH & CARRY #119 (VERNON CA),VERNON,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069919,RESTAURANT DEPOT #153 (TORRANCE CA),TORRANCE,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50161852,RESTAURANT DEPOT #628(HUNTINGTON BC,HUNTINGTON BEACH,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069926,RESTAURANT DEPOT #130 (SAN DIEGO CA,SAN DIEGO,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069916,RESTAURANT DEPOT #143 (JEFFERSON LA,LOS ANGELES,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069914,JETRO CASH & CARRY #122 (LONG BEACH,LONG BEACH,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50161851,RESTAURANT DEPOT #610 (SAN MARCOS C,SAN MARCOS,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50088276,RESTAURANT DEPOT #601 (COLTON CA),COLTON,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50094027,RESTAURANT DEPOT #603 (SAN DIEGO CA,SAN DIEGO,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069920,RESTAURANT DEPOT #154 (PASADENA CA),PASADENA,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069917,RESTAURANT DEPOT # 156 (VAN NUYS CA,VAN NUYS,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069921,RESTAURANT DEPOT #157 (ANAHEIM CA),ANAHEIM,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50089216,RESTAURANT DEPOT #602 (WALNUT CA),DIAMOND BAR,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133840,RESTAURANT DEPOT WEST,50069925,RESTAURANT DEPOT #141(WASH. BLVD LA,LOS ANGELES,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50000465,JETRO CASH & CARRY,50001882,JETRO CASH & CARRY #22,LONG BEACH,CA,Cali South Cluster,US,1100,Salinas DC Shipping Point 1100,,1100,McCormick - Salinas Distrib Ctr,Salinas,CA
